Hours_Coding,Lines_of_Code,Bugs_Found,Bugs_Fixed,AI_Usage_Hours,Sleep_Hours,Cognitive_Load,Task_Success_Rate,Coffee_Intake,Stress_Level,Task_Duration_Hours,Commits,Errors
2,176,13,13,2,7.9,70,41,7,79,3.5,10,6
4,216,7,6,0,4.6,41,70,5,49,6.0,12,0
10,524,3,0,4,7.2,72,42,7,80,21.3,44,0
10,360,19,13,0,4.6,55,56,5,71,22.2,10,5
3,135,10,7,1,4.4,87,30,1,100,5.2,7,3
10,400,10,8,0,8.5,55,41,0,71,5.3,30,2
1,282,10,9,6,5.0,71,51,7,82,1.9,8,4
8,256,1,0,0,8.1,72,32,7,84,10.7,24,8
5,400,16,10,6,6.7,69,54,0,80,8.2,11,9
4,168,8,6,3,4.4,60,49,5,73,7.2,15,9
8,385,1,1,5,8.8,37,76,3,46,9.6,21,9
7,398,14,10,2,5.2,41,71,0,59,16.3,23,2
2,360,15,11,6,8.3,85,38,5,86,1.5,8,4
1,179,3,0,4,4.8,40,79,0,43,1.8,7,9
11,572,7,5,0,8.3,63,36,3,81,5.6,22,4
4,388,8,2,6,4.1,66,52,4,72,9.4,10,8
8,404,4,0,4,6.6,58,49,6,72,5.8,20,9
2,188,15,14,5,7.8,48,67,5,62,1.4,11,3
3,322,12,10,5,8.7,73,45,2,78,3.5,17,0
1,68,6,3,0,8.5,36,73,2,38,1.2,2,9
1,52,19,18,1,8.1,79,30,5,84,0.9,4,4
3,162,16,15,0,8.4,50,60,1,65,5.0,12,0
11,594,2,1,3,5.0,92,30,4,93,15.2,47,5
5,388,4,1,6,5.4,68,50,1,74,2.8,11,9
3,150,18,18,2,5.4,21,82,6,31,3.4,14,9
1,63,11,6,1,5.9,67,40,2,73,2.1,3,6
1,42,6,0,0,6.0,33,62,3,36,1.9,2,0
8,312,8,4,4,6.7,78,42,5,97,15.6,36,9
10,656,5,0,1,4.8,77,30,6,83,19.0,31,3
11,784,16,14,6,7.5,77,47,7,80,12.3,28,8
2,150,15,15,1,4.8,70,33,7,81,1.4,5,0
3,378,2,0,6,5.6,21,100,0,30,3.1,9,8
2,72,3,0,0,6.5,60,46,2,78,4.3,6,7
3,312,9,5,6,8.0,35,87,4,39,7.4,18,4
7,436,4,1,1,7.7,23,81,2,41,10.4,22,5
1,118,9,3,4,7.2,31,82,4,33,0.5,5,6
10,785,11,10,5,4.8,48,72,4,58,7.8,15,3
8,470,9,3,1,6.7,26,75,5,32,9.2,25,5
10,626,12,11,6,4.4,33,80,4,49,16.6,16,6
10,835,10,7,5,5.9,31,91,1,39,6.5,15,5
10,386,15,9,6,6.1,24,97,7,32,23.9,16,5
2,190,7,7,4,4.2,51,64,6,60,2.5,10,1
3,291,7,7,6,5.4,93,30,3,100,7.0,9,4
9,234,7,5,0,8.8,62,42,2,76,18.5,36,2
7,427,12,9,2,8.8,88,30,3,92,14.1,30,6
4,173,1,1,1,5.8,64,39,6,66,6.9,9,3
10,280,11,5,2,4.2,28,87,0,35,17.5,42,0
5,295,9,6,6,4.9,68,47,6,87,8.9,16,5
2,222,11,7,4,6.0,52,65,2,61,3.5,10,5
11,550,10,9,1,8.7,37,66,7,49,17.7,12,6
8,592,14,8,6,4.7,28,87,3,30,19.8,38,7
4,232,15,14,5,7.8,81,39,3,88,7.9,13,2
9,486,16,15,3,4.5,76,42,5,84,18.5,30,5
5,270,1,0,6,8.9,48,77,5,59,11.2,16,9
9,583,17,14,2,5.9,44,66,6,54,8.4,11,1
4,207,11,9,1,7.9,34,69,6,35,2.7,17,8
10,742,18,17,2,5.7,25,90,0,42,14.7,32,1
5,222,17,15,1,7.1,61,43,4,69,7.6,11,2
9,636,16,15,6,5.0,48,79,2,49,19.4,33,9
8,488,5,3,0,4.7,23,80,5,30,11.1,16,1
3,278,14,12,5,8.7,76,35,2,78,4.9,11,8
1,300,2,0,6,8.6,68,52,0,83,1.6,7,0
3,234,5,3,2,8.4,63,39,5,81,1.7,5,4
4,299,2,0,3,7.1,94,30,5,97,6.9,11,0
2,162,0,0,3,8.0,33,77,4,50,4.3,11,4
1,173,12,11,4,4.3,22,90,2,41,0.8,7,7
7,455,13,11,1,5.7,81,30,7,98,11.8,22,7
8,514,12,12,2,5.6,83,30,2,92,13.5,10,7
7,404,3,0,4,7.2,64,53,2,74,5.8,32,1
5,386,6,5,2,5.8,77,30,4,93,3.7,12,7
1,66,9,9,1,4.7,39,60,5,58,2.5,2,4
7,350,6,5,6,7.0,77,36,0,92,9.0,20,0
7,342,14,11,6,8.1,76,38,2,95,6.7,20,6
9,363,14,9,3,5.9,87,30,3,99,7.6,12,5
3,270,3,0,6,4.7,71,53,7,72,5.5,18,4
9,525,5,2,6,5.0,56,57,7,57,15.5,33,0
1,38,19,14,0,5.2,27,68,4,40,1.8,1,0
1,147,4,1,3,5.5,63,54,1,66,0.7,7,5
4,280,19,19,4,7.2,24,86,0,40,9.1,12,9
9,465,11,7,5,7.0,88,30,3,100,11.5,14,6
6,354,0,0,0,7.5,50,55,2,53,6.8,18,9
11,406,7,4,4,5.8,64,55,1,66,15.7,37,9
3,178,0,0,1,8.1,28,85,0,39,3.8,7,0
1,26,4,4,0,5.0,51,56,4,58,2.2,1,8
4,280,5,1,4,6.3,52,56,1,53,9.4,16,3
9,411,2,2,1,8.0,86,30,5,91,10.0,10,4
3,246,14,9,3,4.9,49,60,6,58,6.7,12,1
9,591,4,3,5,4.5,48,75,1,59,18.6,23,9
7,333,13,7,1,8.4,22,76,6,31,16.5,15,7
4,400,17,13,6,5.7,76,53,7,85,4.0,10,1
3,203,15,10,2,7.4,49,62,3,51,5.0,14,2
10,277,5,1,1,4.1,28,72,0,47,10.5,41,8
5,280,13,8,1,7.5,45,63,3,54,10.7,11,1
5,365,7,7,5,5.6,21,93,3,30,2.6,20,5
3,258,6,3,2,4.3,81,36,2,100,4.9,14,3
9,591,7,6,6,7.0,22,97,4,40,10.6,24,6
4,200,12,10,4,5.2,65,51,1,78,4.6,16,5
11,315,5,3,4,5.9,87,30,0,88,19.7,37,9
5,234,17,17,1,4.4,44,56,7,48,11.0,21,8
4,128,1,0,2,4.7,70,40,5,89,6.9,10,8
5,343,7,6,2,5.5,32,78,4,39,11.0,17,9
7,587,10,10,6,4.4,63,63,4,69,7.2,27,3
9,355,0,0,5,8.6,54,67,0,59,13.9,14,0
7,385,5,2,3,4.0,74,44,4,84,9.8,10,1
5,257,15,15,4,6.4,28,88,2,39,2.6,24,7
10,630,19,16,5,4.6,21,98,4,38,16.1,15,9
10,320,11,10,0,5.5,80,30,7,98,18.2,20,7
7,359,10,10,4,8.6,60,56,7,69,11.8,32,1
10,740,9,8,5,4.8,63,48,2,76,19.7,45,3
5,212,2,2,4,8.8,83,40,1,85,8.2,9,0
3,276,12,11,3,5.0,50,60,1,67,1.9,12,6
7,273,2,0,0,7.7,66,35,3,80,5.1,14,3
11,347,14,8,3,6.7,21,91,7,30,18.6,25,7
11,993,15,12,6,8.4,88,30,2,97,11.5,28,8
2,72,12,11,0,6.8,77,31,5,88,1.3,8,8
9,524,16,16,1,6.7,63,51,1,69,12.2,19,2
10,780,2,0,5,5.0,93,30,4,100,16.1,35,4
10,520,19,16,0,4.8,75,30,0,75,11.6,30,5
1,109,10,7,6,8.6,62,54,0,79,1.9,7,5
6,468,18,13,6,5.6,53,67,6,67,10.7,18,9
7,332,10,8,3,5.9,49,67,7,67,8.2,31,7
8,516,15,14,4,7.8,90,30,2,90,16.1,12,5
10,420,2,0,0,5.7,89,30,5,93,18.0,30,5
9,617,5,5,5,8.8,74,44,3,88,16.0,23,3
2,60,13,8,0,7.7,86,30,4,88,3.2,6,6
11,638,17,16,2,7.0,32,78,2,32,5.8,13,7
10,634,16,12,4,8.4,22,95,6,30,18.9,34,2
2,349,3,0,5,4.2,45,71,0,56,2.5,9,6
5,255,14,11,5,5.3,76,42,2,94,11.9,15,2
5,246,10,6,1,6.3,43,60,4,54,10.7,6,7
6,291,2,0,3,5.1,72,47,5,84,10.1,15,0
3,200,2,0,1,7.7,89,30,7,89,3.0,10,0
8,342,15,11,5,8.6,62,54,5,80,7.3,29,5
1,203,4,0,4,6.1,79,43,1,84,1.2,8,9
6,348,9,5,0,5.7,77,30,4,84,8.7,24,8
4,136,18,17,0,8.8,68,42,6,71,4.4,16,3
1,117,3,0,4,6.2,61,46,1,65,1.5,7,5
7,342,18,13,5,6.4,85,30,1,91,5.8,26,4
9,453,10,6,6,5.8,30,89,1,33,22.1,15,0
4,220,1,0,0,8.5,37,62,2,56,2.9,16,5
4,384,9,4,6,6.8,71,58,6,74,9.5,18,8
6,198,10,9,0,7.8,65,37,0,79,14.0,6,2
3,141,19,18,0,8.1,63,32,5,67,4.7,9,2
6,375,15,12,3,5.7,41,64,7,49,11.7,9,1
7,297,18,13,3,6.2,72,46,2,73,9.6,31,3
11,709,10,5,2,8.2,78,33,0,84,19.4,46,9
10,478,13,10,1,5.8,49,58,5,65,11.8,41,2
10,442,1,0,4,8.0,27,83,7,42,11.0,34,1
3,292,4,1,4,8.7,76,35,6,92,5.0,13,0
7,341,4,0,4,7.1,92,30,7,100,10.5,11,2
3,200,18,13,2,7.7,39,74,6,40,5.0,8,9
2,158,11,5,3,8.0,44,72,4,54,2.1,7,5
10,730,17,13,5,8.2,38,73,7,39,12.3,45,8
4,358,3,0,6,6.0,24,100,5,30,2.7,14,4
8,338,16,16,6,4.3,94,30,5,95,4.8,38,2
9,662,9,9,5,6.0,91,30,6,99,9.1,14,4
7,482,19,15,2,7.4,46,57,5,47,4.5,16,4
1,186,5,2,5,6.3,59,57,3,73,0.7,7,4
3,347,13,10,4,7.7,45,71,4,54,6.4,16,6
9,590,10,9,1,5.8,46,52,2,60,5.2,10,4
1,53,10,5,0,7.2,81,30,7,90,1.8,2,6
9,738,17,15,6,4.9,69,52,2,85,9.4,24,8
8,568,17,11,3,7.7,61,57,0,69,17.9,19,4
1,156,10,6,3,6.7,48,70,2,65,1.5,4,1
6,444,11,9,2,5.0,58,45,1,61,6.7,8,4
5,334,4,2,3,5.5,79,30,5,87,7.7,13,7
6,274,8,4,4,7.7,60,55,2,75,7.6,28,3
10,702,8,5,6,6.4,52,69,0,55,16.3,46,1
5,345,9,5,5,5.1,35,81,0,50,3.6,15,9
6,384,18,16,4,8.8,42,76,1,60,15.0,10,2
5,232,0,0,2,7.6,26,83,0,30,6.8,12,8
11,501,6,0,4,8.8,45,67,6,50,13.2,15,8
5,420,3,0,5,6.1,31,80,3,40,9.6,15,7
4,227,0,0,1,6.4,91,30,6,100,4.9,5,7
3,141,14,9,2,8.5,24,93,5,30,6.5,11,7
3,121,7,4,1,6.6,88,30,5,100,4.2,13,7
4,204,11,11,0,7.5,68,32,5,83,7.8,12,7
9,426,17,13,1,5.3,45,57,4,64,6.4,37,0
2,124,14,8,0,6.2,24,72,2,30,4.4,2,5
9,351,16,11,0,4.6,41,62,3,51,17.7,27,8
1,83,13,9,1,5.0,32,79,2,34,0.9,5,7
1,104,13,7,2,4.0,47,57,3,66,0.8,4,2
5,370,17,12,5,4.2,52,61,2,61,5.7,10,0
6,542,19,13,4,8.9,42,79,1,42,14.7,10,1
6,298,17,14,4,5.2,37,77,7,56,6.1,16,1
3,205,15,15,5,7.3,49,64,6,59,4.2,11,6
7,451,0,0,6,8.2,45,83,0,56,3.9,34,5
9,603,10,5,6,6.8,35,81,0,48,11.7,15,1
11,550,14,8,0,4.8,58,52,6,65,18.1,44,7
10,690,11,8,0,7.6,52,54,1,62,24.1,20,8
8,388,7,6,2,7.0,45,71,3,48,12.3,10,6
6,366,19,15,3,7.7,67,44,6,73,12.8,15,3
8,525,5,1,1,7.8,84,30,4,93,12.8,33,0
5,345,2,0,0,8.9,57,47,3,75,2.9,20,3
8,488,12,9,4,6.9,21,90,0,30,9.0,36,3
10,656,12,6,2,5.7,25,85,4,30,16.5,12,7
4,182,1,0,1,7.2,65,42,2,82,9.6,9,3
10,662,4,0,2,4.3,69,38,4,82,22.2,22,3
8,323,16,10,1,8.5,57,41,3,72,7.7,33,1
10,463,5,3,1,4.6,37,67,1,47,9.4,41,9
2,235,1,1,5,5.6,46,64,2,55,1.8,13,6
5,140,3,0,0,8.1,60,49,3,76,11.7,20,3
9,566,10,4,2,7.0,91,30,2,100,19.8,29,5
4,224,7,5,2,6.0,93,30,4,96,8.2,14,2
11,779,11,11,5,6.4,36,82,0,54,14.1,38,6
6,438,7,4,4,8.3,81,30,3,82,9.1,28,5
1,169,10,8,4,5.7,48,72,7,54,1.4,8,2
9,669,19,14,6,8.3,77,51,1,85,9.1,24,3
1,53,7,2,0,4.4,89,30,7,100,1.5,1,9
5,310,7,2,0,7.9,41,55,7,56,2.8,10,4
4,390,16,10,3,8.2,25,85,6,40,3.1,15,8
3,315,19,15,5,4.9,45,74,4,62,6.8,11,5
6,532,19,17,4,6.2,58,49,3,68,12.0,28,3
2,93,15,12,1,4.8,31,79,1,37,2.7,7,6
3,259,13,11,2,7.5,33,68,3,41,4.6,11,1
5,205,10,6,0,6.7,41,58,4,44,6.2,5,3
9,357,6,6,2,7.2,70,46,3,82,17.8,11,4
2,174,15,11,2,5.0,42,73,2,45,4.1,8,3
10,376,12,7,3,5.1,67,53,4,85,20.3,33,3
8,340,14,8,4,4.2,90,32,3,91,15.6,20,8
2,106,15,15,0,5.6,69,38,6,77,1.8,6,1
11,679,8,2,2,6.8,32,79,0,43,12.9,46,5
5,170,2,0,0,8.3,29,82,3,30,7.2,10,7
7,482,18,17,1,7.3,74,40,2,79,8.1,29,7
8,477,19,15,3,6.2,28,77,1,32,16.1,35,6
1,70,4,0,1,8.8,71,39,6,75,1.2,5,9
6,210,9,6,0,7.6,21,87,1,40,4.7,18,3
1,232,16,14,6,8.7,44,79,7,48,1.3,7,6
2,64,14,14,0,6.6,32,72,6,35,4.9,2,9
1,158,7,1,4,5.3,70,39,1,78,1.0,8,5
11,394,14,14,2,4.3,77,40,0,86,19.0,35,5
5,247,13,10,2,7.6,53,62,2,68,6.8,12,1
10,447,19,16,1,4.6,54,52,7,63,6.4,41,7
9,555,6,0,3,5.5,22,91,4,31,13.3,21,7
6,450,11,9,6,6.7,78,42,1,96,11.4,18,6
11,874,16,10,5,6.8,89,33,6,98,16.8,38,8
11,561,16,10,2,7.0,67,38,2,72,24.7,35,7
1,93,9,4,4,4.8,83,30,3,99,1.1,5,8
1,78,18,16,1,5.9,38,76,0,42,0.7,2,8
2,163,13,9,1,7.1,86,30,2,91,4.7,7,5
9,335,10,5,5,8.8,92,33,2,100,11.3,41,1
3,301,1,0,4,7.6,24,91,4,42,5.0,7,6
1,94,17,15,3,8.6,86,30,2,100,2.1,5,2
5,260,6,3,4,7.8,30,81,4,33,5.7,24,6
7,313,11,6,3,7.0,87,30,0,94,13.5,17,8
6,264,1,0,4,5.0,88,30,0,100,4.6,22,9
1,127,19,19,4,7.3,20,90,3,38,1.1,6,9
5,335,17,11,0,7.1,82,30,4,100,3.9,20,1
5,167,5,4,1,7.0,48,58,4,50,10.6,16,5
6,542,9,5,4,6.4,31,87,1,40,5.7,28,5
3,359,19,13,5,6.6,60,59,1,61,5.8,11,8
5,367,14,14,4,5.7,21,87,3,30,11.9,24,8
7,402,4,4,2,6.6,56,55,0,61,10.9,23,4
5,222,19,18,1,5.0,64,43,5,74,7.9,11,4
5,177,2,0,2,8.0,67,39,1,80,7.1,12,8
5,247,4,1,1,4.9,43,56,2,58,5.8,6,7
10,474,7,2,2,4.4,41,61,0,59,14.5,12,6
10,788,7,3,4,6.2,30,86,5,31,17.1,44,7
3,225,7,5,4,7.3,77,45,7,93,7.4,7,5
1,60,11,11,0,6.2,65,41,2,73,2.4,1,2
5,360,7,5,5,5.4,48,62,6,64,11.1,10,6
9,371,10,7,2,6.8,54,54,4,68,20.5,11,7
1,133,13,11,3,5.7,34,85,0,40,1.4,6,7
3,93,7,3,0,8.7,79,30,6,97,5.4,9,0
4,252,9,7,2,8.6,61,54,3,63,9.2,6,6
1,105,6,3,2,6.5,62,50,4,62,1.3,6,2
1,29,16,13,0,5.6,93,30,4,96,2.4,3,1
8,320,3,0,4,7.7,68,48,2,85,10.7,12,1
2,174,12,8,2,4.2,83,31,6,90,3.4,8,7
8,492,3,0,4,6.4,51,60,4,69,15.4,20,8
7,224,4,4,0,5.7,83,30,1,88,16.8,21,2
10,444,3,0,4,8.6,21,91,0,30,9.9,34,2
10,643,17,14,1,4.1,43,65,1,50,19.9,41,5
2,169,5,3,3,6.8,85,30,2,85,3.1,9,9
6,576,1,0,6,7.7,57,65,5,75,6.2,30,0
6,314,10,8,2,6.4,50,52,7,60,12.3,14,5
3,225,13,8,5,4.4,45,73,2,59,4.8,8,2
11,430,4,2,3,8.9,48,69,0,58,20.0,47,3
2,254,5,1,6,6.6,86,36,4,100,2.3,12,8
1,181,9,7,4,7.1,44,66,6,53,1.5,7,2
6,274,7,3,2,5.2,67,39,6,78,10.4,26,0
5,266,13,9,4,6.4,84,36,3,84,6.5,14,2
11,464,2,0,1,6.1,72,30,2,78,9.9,12,6
9,243,11,11,0,4.4,86,30,0,100,21.8,27,6
1,118,15,10,2,4.5,37,79,3,46,1.5,4,4
7,418,16,13,6,8.2,28,91,4,33,13.8,13,0
5,340,0,0,6,5.2,57,72,5,73,6.6,11,7
5,351,9,3,1,5.0,40,74,2,57,6.1,16,9
2,167,9,5,1,6.5,84,30,5,88,2.6,9,7
11,581,1,0,2,7.8,40,71,0,57,14.5,35,9
3,246,8,3,4,4.3,46,76,5,62,4.8,13,9
7,510,12,10,5,6.9,89,30,5,100,11.1,26,9
6,618,15,13,6,4.6,63,60,0,70,9.0,18,1
2,162,17,14,6,4.2,47,72,0,59,1.5,14,9
6,322,18,17,1,4.3,64,43,2,79,9.0,13,2
2,251,11,10,3,8.2,36,76,5,46,1.7,9,3
2,93,7,5,1,4.6,59,42,3,64,1.5,9,0
2,244,16,15,5,4.2,22,100,7,30,4.7,7,3
11,784,14,8,4,6.2,85,34,0,85,18.8,48,4
3,229,9,7,4,8.2,65,43,4,82,5.5,13,2
2,143,14,10,3,5.3,49,56,5,53,2.6,11,9
4,374,14,11,6,6.1,88,40,0,100,9.3,10,1
9,529,6,6,1,4.2,28,78,3,37,16.0,10,5
6,436,12,9,4,6.2,30,89,6,34,12.2,28,7
1,115,16,14,5,6.9,88,30,2,100,1.2,6,6
8,308,8,2,2,6.9,85,30,5,100,19.4,18,0
7,273,7,5,0,5.7,50,57,6,50,15.0,28,3
10,410,19,16,0,5.6,52,44,0,53,22.1,10,2
3,192,17,11,0,4.5,58,44,0,64,2.5,3,5
1,294,12,6,6,5.8,65,56,4,74,1.0,10,8
5,197,15,9,1,4.5,56,57,4,75,5.4,11,8
4,298,8,3,3,7.8,79,30,5,85,4.2,19,6
10,708,11,9,4,8.8,50,62,6,65,22.1,14,8
8,366,11,10,2,8.9,30,78,7,34,4.5,34,7
1,114,5,4,5,8.3,21,93,6,32,0.7,6,4
10,484,18,16,2,7.0,46,63,0,62,10.5,32,8
1,244,6,4,5,7.5,21,89,7,36,0.9,9,6
4,404,2,0,6,5.4,40,81,5,59,3.9,22,4
8,403,15,14,1,7.2,77,30,0,92,16.8,9,7
5,340,17,15,0,6.3,24,74,4,42,8.1,5,6
2,149,15,13,1,6.4,71,30,3,85,1.0,3,8
6,402,6,1,6,7.8,64,58,1,75,8.2,12,9
5,367,3,0,3,5.4,39,79,7,48,6.6,23,0
2,208,7,4,3,5.6,80,34,1,81,1.5,5,8
11,804,12,7,6,8.6,57,69,0,63,20.4,50,6
11,758,12,12,5,4.3,39,76,6,51,20.9,27,0
11,536,16,15,4,6.4,44,74,4,46,21.4,48,0
3,267,16,13,4,8.6,21,98,2,35,5.9,7,4
9,448,4,4,5,7.1,51,75,2,51,4.5,14,7
7,438,5,3,3,6.7,45,74,1,47,16.9,17,8
7,346,18,16,3,5.2,89,30,3,98,14.9,31,5
11,555,12,9,3,5.7,60,45,1,74,25.4,25,9
6,216,13,8,1,8.3,86,30,0,91,3.2,25,7
8,635,3,0,3,6.8,20,92,3,39,18.9,11,5
4,198,6,0,2,6.6,70,33,2,84,8.5,18,5
8,376,7,5,0,4.5,24,85,6,30,17.4,8,3
4,350,12,6,3,4.1,32,85,4,36,2.7,7,4
8,623,5,1,5,8.8,38,73,7,41,15.8,29,1
9,315,5,2,0,5.9,31,80,4,48,21.8,27,2
3,173,2,2,1,7.0,67,38,0,69,5.6,13,2
3,308,2,0,5,4.4,44,75,1,60,4.9,8,4
11,737,12,11,0,7.4,76,30,0,93,26.3,22,4
2,238,1,0,5,8.7,54,63,7,71,2.8,7,5
10,480,15,10,1,6.9,24,76,4,30,17.0,21,4
3,200,5,2,2,4.6,41,62,7,53,4.4,14,5
3,176,7,5,1,6.9,76,33,2,90,7.1,13,7
5,198,7,5,1,7.8,66,48,4,70,3.3,11,1
5,410,5,1,5,6.0,73,40,3,75,7.5,15,3
2,274,13,9,6,8.4,22,100,6,30,3.7,8,5
10,610,2,0,4,7.2,72,48,7,76,20.8,44,4
6,300,9,5,3,8.5,50,62,6,54,10.0,9,0
5,294,2,2,3,7.1,88,30,5,90,11.6,13,8
6,386,11,7,2,4.7,52,53,4,54,14.3,20,2
1,125,16,16,2,5.5,91,30,4,100,0.6,5,1
5,237,4,0,3,5.0,69,37,6,86,6.5,18,8
9,539,19,14,4,8.5,35,86,5,54,4.9,22,6
10,540,8,3,3,7.8,58,59,3,61,11.6,13,4
2,388,19,19,6,7.4,65,58,1,65,3.1,14,5
1,181,6,3,4,5.5,66,48,7,81,2.3,6,3
10,546,3,0,2,4.9,63,41,7,70,21.9,32,0
11,737,12,9,0,7.8,28,78,4,44,8.3,11,3
9,754,12,10,5,6.4,69,48,6,76,6.2,41,8
10,750,9,9,6,5.1,79,39,0,85,16.8,46,0
9,327,17,11,6,7.1,34,93,4,41,14.1,24,9
9,417,16,11,2,4.2,55,57,0,66,9.3,20,2
6,344,19,18,2,5.6,82,34,3,97,13.8,26,4
8,451,19,17,1,6.3,88,30,4,99,18.8,33,6
11,732,12,9,6,4.7,60,56,7,78,14.4,39,8
1,82,16,11,1,8.9,93,30,6,100,2.3,5,5
10,702,3,3,1,5.0,43,67,3,49,12.7,21,2
4,396,0,0,5,4.7,68,50,3,79,7.9,9,6
1,100,0,0,1,5.0,37,64,1,56,1.5,4,3
8,304,14,8,4,7.8,26,92,4,30,6.0,28,2
1,183,12,11,3,6.1,23,89,0,38,2.4,7,6
3,120,16,13,0,6.8,88,30,0,96,4.2,3,6
4,204,7,5,2,4.1,79,37,4,85,7.9,14,3
8,268,17,11,4,4.2,74,38,5,93,9.9,20,6
6,408,12,12,0,6.2,35,69,1,48,3.2,24,1
10,446,13,12,6,8.1,48,77,1,58,7.0,26,0
7,309,7,7,6,8.4,42,77,1,48,10.4,34,1
8,332,7,2,6,4.4,33,96,0,42,15.0,30,3
2,136,14,10,4,6.7,68,51,3,76,2.3,12,7
10,800,12,10,4,8.6,52,67,6,55,18.9,14,2
11,723,6,6,2,5.9,44,58,5,59,20.9,24,9
8,493,4,1,3,8.1,40,73,7,49,15.3,11,5
3,223,16,11,1,4.7,36,74,1,54,4.5,7,5
7,484,15,10,6,8.7,42,79,0,58,16.3,20,8
3,421,1,0,5,7.8,76,34,0,84,4.4,17,8
7,448,17,12,3,8.7,77,40,7,89,9.8,24,3
11,479,16,13,5,7.4,33,92,3,33,9.9,38,8
2,130,6,6,2,5.8,39,76,7,40,2.2,4,5
10,698,12,10,2,8.7,49,52,4,61,5.8,42,1
6,360,17,12,2,5.4,38,79,4,46,10.6,20,9
3,153,13,8,0,5.7,72,35,6,78,3.0,6,5
3,238,17,14,5,7.5,75,49,7,90,3.3,11,1
9,666,12,8,3,7.8,42,77,6,60,18.4,39,7
7,364,10,6,3,8.6,81,38,1,87,8.1,10,3
5,225,15,9,4,5.0,52,56,6,57,4.9,24,4
10,652,16,11,4,8.0,37,86,1,54,8.4,14,7
7,550,7,7,6,7.7,92,31,5,100,14.3,34,7
9,766,18,16,4,4.3,52,62,6,62,6.8,22,5
1,102,19,14,2,5.9,51,52,3,62,1.4,6,3
7,327,14,13,3,5.4,80,35,1,89,10.6,24,0
6,301,8,6,5,5.5,73,52,3,85,11.2,23,6
10,466,19,13,2,8.9,36,78,0,47,17.7,42,7
9,342,9,5,0,7.2,38,72,1,47,19.1,9,8
1,146,11,6,4,7.6,89,34,0,100,0.6,5,1
4,210,19,16,2,8.9,53,58,2,70,4.4,10,0
9,393,0,0,2,5.9,44,73,3,47,9.5,20,3
4,160,19,14,0,8.0,87,30,2,91,3.2,4,4
10,589,8,2,1,6.2,93,30,1,97,10.8,41,9
3,120,14,14,3,8.3,93,30,0,100,3.4,9,0
9,517,0,0,5,4.9,30,93,1,32,13.9,14,4
2,296,11,5,6,8.7,35,78,2,42,3.7,8,5
4,145,2,0,1,5.1,80,30,7,81,5.0,17,2
6,292,10,10,4,5.6,26,95,7,43,11.6,22,6
2,164,1,0,2,7.8,35,72,1,43,2.3,4,5
8,272,15,15,0,6.0,35,74,5,47,8.6,16,3
8,384,8,8,0,7.0,59,45,4,65,12.7,32,2
1,116,14,13,3,6.2,31,86,2,40,0.5,7,4
3,187,11,10,1,7.7,54,49,1,62,2.0,13,2
10,832,0,0,6,5.1,40,86,0,54,13.4,36,9
9,648,12,6,3,4.3,69,46,1,73,21.5,30,8
5,291,13,9,2,5.5,62,49,7,73,9.7,12,8
6,417,7,6,3,6.4,36,69,0,36,4.1,15,5
4,337,7,2,5,4.8,51,59,4,62,8.8,21,5
10,450,11,9,0,5.8,60,42,1,65,19.6,20,3
2,68,0,0,0,6.0,25,83,6,43,3.4,2,3
11,826,10,10,4,4.3,46,69,7,64,23.5,37,1
8,376,7,7,4,6.9,39,69,6,54,10.5,36,9
11,831,9,6,6,8.4,44,73,4,62,10.4,50,3
6,308,18,14,2,4.8,85,30,2,87,9.1,8,7
5,300,10,7,5,7.0,28,97,0,37,8.0,10,9
9,297,6,5,1,7.3,72,41,6,89,14.2,10,1
1,136,10,7,3,6.1,80,36,5,92,1.6,4,8
5,523,16,16,6,7.5,57,70,2,74,12.0,26,0
6,248,0,0,2,6.1,22,79,0,30,13.8,20,1
5,299,7,5,4,6.5,89,30,7,91,11.3,19,1
6,390,5,0,3,4.0,74,35,7,85,12.6,9,5
6,518,17,16,4,7.5,20,100,7,39,14.3,16,6
7,328,5,2,3,7.3,89,30,4,95,4.9,31,2
4,124,4,4,1,4.2,64,48,6,71,4.1,13,8
11,586,12,6,2,5.8,66,43,7,74,16.4,13,4
8,551,18,13,3,8.9,45,61,3,58,17.5,19,4
7,573,7,6,5,6.1,33,86,7,37,10.6,19,3
9,642,8,8,6,6.5,73,56,1,91,18.0,15,8
7,301,16,12,0,8.5,90,30,4,100,5.4,28,7
3,345,2,0,5,7.6,65,59,0,76,3.0,14,3
3,304,18,14,5,6.9,50,60,0,53,5.9,11,3
8,482,10,8,6,8.0,78,45,0,85,6.6,30,1
5,230,16,13,0,8.3,48,63,0,54,6.0,15,8
4,327,18,17,5,6.3,36,78,1,50,4.1,13,2
8,666,1,0,3,6.4,33,77,2,38,9.6,11,3
6,303,7,5,3,5.9,55,63,5,59,11.5,15,6
2,216,18,16,3,8.8,77,30,3,90,2.5,7,9
4,248,6,4,0,7.5,43,66,1,55,6.4,16,7
11,670,16,11,5,4.4,82,32,0,91,7.7,38,7
4,240,5,5,0,8.3,44,62,1,61,8.4,4,3
6,288,18,17,3,6.4,78,30,4,81,7.4,21,6
6,624,5,2,6,4.3,51,64,5,58,10.8,18,9
1,205,1,0,5,6.7,37,81,0,47,2.0,6,0
8,592,5,1,5,6.1,56,62,3,72,7.4,13,5
6,418,4,2,4,8.4,45,68,0,62,13.6,10,5
